Rank,Model,Serial,Seed,Accuracy,F1,Precision,Recall,Epoch
1,resnet_baseline,1,42,99.07024793388429,99.07012046673177,99.08554197688363,99.0702479338843,46
2,resnet_baseline,10,126,99.07024793388429,99.07017897398056,99.07984063758464,99.0702479338843,39
3,vit_b16,12,42,98.96694214876032,98.96848308061122,99.0079365079365,98.96694214876034,48
4,resnet_baseline,3,84,98.86363636363636,98.86519737273541,98.9010989010989,98.86363636363637,50
5,cbam_resnet,9,126,98.7603305785124,98.76191496584508,98.79384067178346,98.7603305785124,45
6,resnet_baseline,17,3407,98.7603305785124,98.76181714143995,98.78482980809638,98.7603305785124,42
7,vit_b16,15,126,98.55371900826447,98.55786109484708,98.6328125,98.55371900826447,50
8,cbam_resnet,8,84,98.55371900826447,98.55944410003778,98.61819405873938,98.55371900826447,33
9,se_resnet,5,84,98.4504132231405,98.45459088673718,98.5245873917749,98.4504132231405,42
10,vit_b16,14,84,98.34710743801654,98.3456671960742,98.4322755915638,98.34710743801654,48
11,se_resnet,6,126,98.34710743801654,98.35132990546767,98.41549143233303,98.34710743801654,48
12,se_resnet,2,42,98.24380165289256,98.24541650147569,98.33996328029374,98.24380165289257,47
13,se_resnet,4,42,98.24380165289256,98.24541650147569,98.33996328029374,98.24380165289257,47
14,vit_b16,16,3407,98.24380165289256,98.24163236695773,98.35907335907336,98.24380165289256,39
15,se_resnet,11,3407,98.03719008264463,98.04186732431342,98.18007662835248,98.03719008264463,42
16,cbam_resnet,7,42,97.93388429752066,97.9353968055279,98.01947783831082,97.93388429752066,49
17,cbam_resnet,18,3407,97.8305785123967,97.84473485087388,98.00380228136882,97.8305785123967,40
